user_id,payment_id,invoice_id,payment_amount,currency,payment_date,payment_method,reference,category,direction,counterparty_id,counterparty_type,exchange_rate_used,fees_amount
1,PAY-F733C5DF,INV-2025-0718-001,3200,SGD,18/7/25,Bank Transfer,Sale of consulting services to KL Tech,Sales Revenue,IN,CUS-0002,customer,,
1,PAY-4AC3C4D1,INV-2025-0719-002,420,SGD,19/7/25,Credit Card,Purchase of office stationery from PaperMart,Office Supplies,OUT,SUP-0002,supplier,,
1,PAY-5AA2E7FB,INV-2025-0720-003,2100,SGD,20/7/25,Bank Transfer,Website development for Jakarta Retail,Sales Revenue,IN,CUS-0003,customer,,
1,PAY-96963C85,INV-2025-0721-004,500,MYR,21/7/25,Bank Transfer,Accounting services from MY Accountants,Professional Services,OUT,SUP-0003,supplier,,
1,PAY-72127292,INV-2025-0722-005,500,IDR,22/7/25,Credit Card,Digital ad campaign for Indonesia market,Marketing Expenses,OUT,SUP-0004,supplier,,
1,PAY-0414D849,INV-2025-0723-006,2750,SGD,23/7/25,Bank Transfer,Software license sold to Manila Corp,Sales Revenue,IN,CUS-0004,customer,,
1,PAY-7BA50094,REC-2025-0724-007,12000,THB,24/7/25,Cash,Business trip to Bangkok for client meeting,Travel Expenses,OUT,SUP-0005,supplier,,
1,PAY-1A78F4BC,INV-2025-0725-008,800,SGD,25/7/25,Bank Transfer,Purchase of new office printer,Equipment Purchase,OUT,SUP-0006,supplier,,
1,PAY-7017A8CC,INV-2025-0726-009,4100,SGD,26/7/25,Bank Transfer,Annual maintenance contract with Penang Foods,Sales Revenue,IN,CUS-0005,customer,,
1,PAY-B6DBC373,INV-2025-0727-010,200,SGD,27/7/25,Bank Transfer,Monthly electricity bill,Utilities,OUT,SUP-0007,supplier,,
1,PAY-AB628C3B,INV-2025-0728-011,1950,SGD,28/7/25,Bank Transfer,Mobile app delivered to Ho Chi Minh Startups,Sales Revenue,IN,CUS-0006,customer,,
1,PAY-EF1B5E18,INV-2025-0729-012,2800,SGD,29/7/25,Bank Transfer,June office rent payment,Office Rent,OUT,SUP-0008,supplier,,
1,PAY-2A2E4F43,INV-2025-0730-013,3600,SGD,30/7/25,Bank Transfer,IT support services for Bangkok Biz,Sales Revenue,IN,CUS-0007,customer,,
