date, category, amount, direction(in/out), counterparty
2024-01-15, sales_revenue, 25000, in, Local Retailer Co
2024-01-16, raw_materials, 8000, out, Supplier Pte Ltd
2024-01-17, utilities, 450, out, Singapore Power
2024-01-20, consulting_income, 3500, in, Tech Startup SG
2024-01-22, office_rent, 4200, out, CBD Properties
2024-01-25, employee_meals, 180, out, Catering Services
2024-01-28, equipment_purchase, 1200, out, IT Solutions Pte
2024-02-01, sales_revenue, 28000, in, Export Client MY
2024-02-03, transportation, 320, out, Logistics Partner
2024-02-05, business_insurance, 850, out, Great Eastern
2024-02-08, government_grant, 5000, in, Enterprise Singapore
2024-02-10, office_supplies, 240, out, Stationery Plus
2024-02-12, client_entertainment, 150, out, Marina Bay Restaurant
2024-02-15, interest_income, 120, in, DBS Bank
2024-02-18, telecommunications, 380, out, Singtel Business
2024-02-20, marketing_expenses, 600, out, Digital Agency
2024-02-22, office_rent, 4200, out, CBD Properties
2024-02-25, refund_processing, 180, in, Payment Gateway
2024-02-28, professional_services, 900, out, Accounting Firm
2024-03-01, sales_revenue, 31000, in, Regional Distributor
